,carName,price,summary,options
37,2008 Acura TL,"$6,289","
VIN: 19UUA66218A010540
Full Style Name: 4dr Sedan Auto
Mileage: 217,500 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 258 HP @ 6200 RPM
6 cylinder, 3.2L
Fuel Economy: 18 MPG city
26 MPG highway
Doors: 4
Passengers: 5
Exterior:
Black",none
38,2017 Chevrolet Camaro,"$26,589","
VIN: 1G1FB1RS5H0126485
Trim: 1LT
Full Style Name: 2dr Coupe 1LT
Mileage: 34,500 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 335 HP @ 6800 RPM
6 cylinder, 3.6L
Fuel Economy: 19 MPG city
28 MPG highway
22 MPG combined
Doors: 2
Passengers: 4
Exterior:
Silver","['Engine, 3.6l V6, Di, VVT', 'Wheels, 20"" (50.8 cm) 5-Split Spoke Premium Gray-Painted, Machined-Face Aluminum']"
39,M's 2016 Honda Pilot,"$24,973","
VIN: 5FNYF5H96GB011386
Trim: Touring
Full Style Name: 2WD 4dr Touring w/RES & Navi
Mileage: 97,811 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 280 HP @ 6000 RPM
6 cylinder, 3.5L
Fuel Economy: 20 MPG city
27 MPG highway
23 MPG combined
Doors: 4
Passengers: 8
Exterior:
Black",none
40,2020 Kia Sedona,"$38,202","
VIN: KNDMC5C17L6629881
Trim: SX
Full Style Name: SX FWD
Mileage: 32,500 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 276 HP @ 6000 RPM
6 cylinder, 3.3L
Fuel Economy: 18 MPG city
24 MPG highway
21 MPG combined
Doors: 4
Passengers: 8
Exterior:
Black",none
41,2015 BMW 3 Series,"$28,024","
VIN: WBA3A9C5XFKW74981
Trim: 335i
Full Style Name: 4dr Sedan 335i RWD
Mileage: 57,000 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 300 HP @ 5800 RPM
6 cylinder, 3.0L
Fuel Economy: 21 MPG city
32 MPG highway
25 MPG combined
Doors: 4
Passengers: 5
Exterior:
Gray",none
42,2016 Mercedes-Benz S-Class,"$53,519","
VIN: WDDUG8CB0GA204252
Trim: S 550
Full Style Name: 4dr Sedan S 550 RWD
Mileage: 37,700 mi.
Tire Mileage: 10 to 20K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: See Specifications
8 cylinder, 4.6L
Fuel Economy: 17 MPG city
26 MPG highway
20 MPG combined
Doors: 4
Passengers: 5
Exterior:
White","['Warmth & Comfort Package', 'Driver Assistance Package']"
43,2007 Cadillac Escalade,"$9,000","
VIN: 1GYEC63827R405875
Full Style Name: 2WD 4dr
Mileage: 295,000 mi.
Tire Mileage: 5 to 10K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 403 HP @ 5700 RPM
8 cylinder, 6.2L
Fuel Economy: 13 MPG city
20 MPG highway
Doors: 4
Passengers: 7
Exterior:
Black","['Options', 'Engine, Vortec 6.2l Variable Valve Timing V8 SFI']"
44,2020 Kia Sorento,"$20,000","
VIN: 5XYPG4A39LG645707
Trim: LX
Full Style Name: LX FWD
Mileage: 38,360 mi.
Tire Mileage: Over 30K mi.
Transmission: Automatic
Drive Type: Front Wheel Drive
Engine: 185 HP @ 6000 RPM
4 cylinder, 2.4L
Fuel Economy: 22 MPG city
29 MPG highway
25 MPG combined
Doors: 4
Passengers: 7
Exterior:
Brown","['Black, Yes Essentials Cloth Seat Trim', 'Radio: Uvo Eservices']"
45,2021 Porsche 911,"$115,000","
VIN: WP0AA2A93MS206448
Trim: Carrera
Full Style Name: Carrera Coupe
Mileage: 1,500 mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 379 HP @ 6500 RPM
6 cylinder, 3.0L
Fuel Economy: 18 MPG city
24 MPG highway
20 MPG combined
Doors: 2
Passengers: 4
Exterior:
Blue",none
46,2021 Jeep Grand Cherokee,"$35,619","
VIN: 1C4RJEAG3MC597534
Trim: Laredo E
Full Style Name: Laredo E 4x2
Mileage: 9,582 mi.
Tire Mileage: 5 to 10K mi.
Transmission: Automatic
Drive Type: Rear Wheel Drive
Engine: 293 HP @ 6400 RPM
6 cylinder, 3.6L
Fuel Economy: 19 MPG city
26 MPG highway
21 MPG combined
Doors: 4
Passengers: 5
Exterior:
Gray","['Options', 'Engine: 3.6l V6 24v VVT Upg I w/ESS']"
